"","consent1","consent2","consent3","freediscount","paydiscount","fakeemail","likely1","likely2","likely3","likely4","annoyed1","annoyed2","annoyed3","annoyed4","control","reasonable1","reasonable2","reasonable3","reasonable4","reasonable5","reasonable6","reasonable7","reasonable8","reasonable9","comfortable1","comfortable2","comfortable3","comfortable4","comfortable5","comfortable6","comfortable7","comfortable8","comfortable9","ac","comfortable10","gender","age","comments","Condition","annoyed","likely","likelyy","annoyedsum","likelysum","likelysumm","discount","female","female2","discount2"
"291","Yes","Yes","Yes",500,0,7,7,6,7,6,7,6,7,7,7,6,7,7,7,6,7,7,6,7,7,7,6,7,7,7,6,7,7,"Somewhat flexible",7,"Female",36,"","1",6.75,6.5,6.5,27,26,26,500,1,1,500
"292","Yes","Yes","Yes",0,100,1,7,7,4,4,1,2,7,7,1,1,7,1,1,1,2,1,4,7,1,4,1,1,1,1,2,4,7,"Somewhat flexible",0,"Male",29,"","2",4.25,5.5,5.5,17,22,22,100,0,0,100
"293","Yes","Yes","Yes",75,0,4,7,7,6,5,6,7,6,5,7,7,7,7,7,7,7,7,6,6,6,6,7,7,6,6,6,7,7,"Somewhat flexible",6,"Male",39,"","1",6,6.25,6.25,24,25,25,75,0,0,75
"294","Yes","Yes","Yes",0,56,7,7,6,6,7,7,6,6,6,7,7,7,7,7,6,6,7,7,7,6,6,7,6,6,6,6,6,7,"Somewhat flexible",7,"Male",33,"","2",6.25,6.5,6.5,25,26,26,56,0,0,56
"295","Yes","Yes","Yes",100,0,2,5,4,5,4,2,2,6,5,3,3,6,6,3,3,5,4,5,5,6,6,4,6,3,6,3,6,6,"Somewhat flexible",5,"Male",29,"","1",3.75,4.5,4.5,15,18,18,100,0,0,100
"296","Yes","Yes","Yes",200,0,5,4,5,6,4,5,4,5,5,4,5,4,3,3,1,6,1,1,2,3,5,2,3,1,4,5,1,1,"Somewhat flexible",4,"Male",20,"","1",4.75,4.75,4.75,19,19,19,200,0,0,200
"297","Yes","Yes","Yes",50,0,6,5,4,5,4,5,6,5,5,6,6,6,5,5,6,6,6,6,5,5,6,6,6,5,5,6,6,5,"Somewhat flexible",5,"Female",47,"","1",5.25,4.5,4.5,21,18,18,50,1,1,50
"298","Yes","Yes","Yes",50,0,1,7,7,1,1,1,1,7,7,1,7,7,7,7,1,7,1,1,1,7,7,7,7,1,7,1,7,7,"Somewhat flexible",4,"Female",34,"","1",4,4,4,16,16,16,50,1,1,50
"299","Yes","Yes","Yes",0,50,2,6,5,6,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,5,5,6,5,6,6,6,"Somewhat flexible",6,"Male",37,"","2",5.75,5.75,5.75,23,23,23,50,0,0,50
"300","Yes","Yes","Yes",0,100,1,7,7,2,2,2,2,7,7,3,7,7,5,5,1,7,1,1,7,7,7,4,4,1,5,1,7,4,"Somewhat flexible",3,"Male",27,"","2",4.5,4.5,4.5,18,18,18,100,0,0,100
"301","Yes","Yes","Yes",0,55,6,7,7,5,4,1,1,7,6,5,5,7,6,1,1,1,7,7,7,5,7,7,1,1,1,7,6,7,"Somewhat flexible",5,"Male",41,"","2",3.75,5.75,5.75,15,23,23,55,0,0,55
"302","Yes","Yes","Yes",500,0,6,5,6,6,5,6,6,5,5,5,6,6,6,6,7,6,5,6,7,6,6,6,6,7,6,5,6,7,"Somewhat flexible",6,"Male",55,"","1",5.5,5.5,5.5,22,22,22,500,0,0,500
"303","Yes","Yes","Yes",50,0,1,6,7,6,6,7,7,6,6,6,6,7,6,1,1,6,1,6,7,7,7,7,1,1,1,1,7,7,"Somewhat flexible",6,"Male",42,"","1",6.5,6.25,6.25,26,25,25,50,0,0,50
"304","Yes","Yes","Yes",0,50,5,5,6,4,4,4,5,6,5,6,5,4,6,5,6,5,5,6,6,6,5,6,6,5,6,4,5,5,"Somewhat flexible",5,"Female",32,"","2",5,4.75,4.75,20,19,19,50,1,1,50
"305","Yes","Yes","Yes",25,0,1,7,7,5,2,2,1,7,7,3,7,7,7,7,1,5,2,3,3,7,7,7,6,3,5,1,7,7,"Somewhat flexible",5,"Female",30,"","1",4.25,5.25,5.25,17,21,21,25,1,1,25
"306","Yes","Yes","Yes",0,50,4,5,7,7,7,7,6,6,6,2,3,4,5,3,1,3,2,4,4,3,3,4,3,1,3,4,4,5,"Somewhat flexible",3,"Male",56,"","2",6.25,6.5,6.5,25,26,26,50,0,0,50
"307","Yes","Yes","Yes",30,0,7,7,6,7,6,7,6,7,6,7,6,7,7,7,6,7,6,6,7,6,7,6,7,7,7,7,6,6,"Somewhat flexible",7,"Male",39,"","1",6.5,6.5,6.5,26,26,26,30,0,0,30
"308","Yes","Yes","Yes",15,0,6,3,6,5,4,5,6,6,4,6,4,5,6,5,7,6,6,5,4,5,6,5,6,6,4,5,5,4,"Somewhat flexible",6,"Female",34,"","1",5.25,4.5,4.5,21,18,18,15,1,1,15
"309","Yes","Yes","Yes",60,0,4,7,7,6,6,5,5,7,7,1,5,6,2,5,1,5,1,2,4,3,4,1,2,1,1,1,3,6,"Somewhat flexible",2,"Male",31,"","1",6,6.5,6.5,24,26,26,60,0,0,60
"310","Yes","Yes","Yes",250,0,5,6,5,7,6,5,6,6,7,6,7,7,6,6,6,6,5,6,5,7,6,7,5,6,6,5,7,6,"Somewhat flexible",5,"Male",50,"","1",6,6,6,24,24,24,250,0,0,250
"311","Yes","Yes","Yes",0,97,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Somewhat flexible",7,"Male",49,"","2",7,7,7,28,28,28,97,0,0,97
"312","Yes","Yes","Yes",0,5,1,5,5,3,2,4,5,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3,5,4,4,4,"Somewhat flexible",4,"Female",49,"","2",4.25,3.75,3.75,17,15,15,5,1,1,5
"313","Yes","Yes","Yes",400,0,6,5,6,6,5,5,6,5,6,6,7,7,7,6,7,7,7,7,7,5,7,7,5,7,7,7,7,6,"Somewhat flexible",6,"Male",38,"","1",5.5,5.5,5.5,22,22,22,400,0,0,400
"314","Yes","Yes","Yes",10,0,6,5,6,7,7,5,7,7,6,7,6,7,7,7,7,6,6,5,7,6,6,7,7,6,7,7,6,7,"Somewhat flexible",6,"Female",36,"","1",6.25,6.25,6.25,25,25,25,10,1,1,10
"315","Yes","Yes","Yes",25,0,3,5,6,5,5,7,7,6,6,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Somewhat flexible",4,"Male",36,"","1",6.5,5.25,5.25,26,21,21,25,0,0,25
"316","Yes","Yes","Yes",0,180,5,6,6,4,5,6,5,5,4,5,5,7,5,6,6,6,7,5,6,7,5,6,7,5,6,5,4,6,"Somewhat flexible",6,"Female",27,"","2",5,5.25,5.25,20,21,21,180,1,1,180
"317","Yes","Yes","Yes",5,0,5,7,6,6,5,6,7,6,6,5,6,6,5,6,7,6,6,6,7,5,6,7,6,6,6,5,5,7,"Somewhat flexible",6,"Male",63,"","1",6.25,6,6,25,24,24,5,0,0,5
"319","Yes","Yes","Yes",60,0,7,6,7,7,6,6,6,7,7,7,7,6,6,7,7,6,6,7,7,6,7,6,7,6,6,6,6,7,"Somewhat flexible",7,"Female",37,"","1",6.5,6.5,6.5,26,26,26,60,1,1,60
"320","Yes","Yes","Yes",50,0,7,6,7,7,6,7,6,6,7,7,6,6,6,6,6,6,7,6,6,6,6,7,6,6,6,6,6,7,"Somewhat flexible",7,"Female",37,"","1",6.5,6.5,6.5,26,26,26,50,1,1,50
"321","Yes","Yes","Yes",50,0,2,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,5,5,5,6,6,5,6,6,6,5,6,5,"Somewhat flexible",6,"Male",40,"","1",5.75,5.75,5.75,23,23,23,50,0,0,50
"322","Yes","Yes","Yes",0,60,6,5,6,6,7,7,5,5,6,6,7,7,7,7,5,7,7,7,7,6,6,7,7,7,6,7,7,7,"Somewhat flexible",6,"Male",29,"","2",5.75,6,6,23,24,24,60,0,0,60
"323","Yes","Yes","Yes",0,25,1,7,7,1,1,1,1,7,7,7,7,7,7,7,1,7,1,7,7,7,7,7,7,1,7,1,7,7,"Somewhat flexible",7,"Male",30,"","2",4,4,4,16,16,16,25,0,0,25
"324","Yes","Yes","Yes",0,25,7,6,7,7,6,7,7,6,6,7,7,7,7,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,"Somewhat flexible",7,"Male",33,"","2",6.5,6.5,6.5,26,26,26,25,0,0,25
"325","Yes","Yes","Yes",0,50,6,6,5,7,7,7,5,6,6,7,5,6,7,7,5,7,7,6,7,6,5,6,6,6,5,7,7,7,"Somewhat flexible",7,"Male",30,"","2",6,6.25,6.25,24,25,25,50,0,0,50
"326","Yes","Yes","Yes",300,0,7,7,5,4,5,5,6,6,7,6,7,7,6,5,6,6,7,7,5,6,5,5,7,6,6,6,7,6,"Somewhat flexible",6,"Male",35,"","1",6,5.25,5.25,24,21,21,300,0,0,300
"327","Yes","Yes","Yes",0,95,7,7,5,6,6,4,5,7,7,7,6,5,6,7,5,7,7,4,6,7,6,4,6,7,6,4,4,5,"Somewhat flexible",7,"Female",57,"","2",5.75,6,6,23,24,24,95,1,1,95
"328","Yes","Yes","Yes",0,10,5,4,5,5,4,4,4,4,5,5,4,5,5,4,4,4,5,4,3,4,4,5,5,5,4,4,5,4,"Somewhat flexible",4,"Male",26,"","2",4.25,4.5,4.5,17,18,18,10,0,0,10
"329","Yes","Yes","Yes",100,0,1,6,6,6,6,1,6,7,7,4,7,7,2,2,2,5,2,2,7,7,1,1,1,1,6,1,1,7,"Somewhat flexible",3,"Female",25,"","1",5.25,6,6,21,24,24,100,1,1,100
"330","Yes","Yes","Yes",0,5,6,7,6,6,7,7,7,6,6,6,6,6,7,7,7,6,7,6,6,6,7,7,7,6,6,7,6,6,"Somewhat flexible",6,"Male",30,"","2",6.5,6.5,6.5,26,26,26,5,0,0,5
"332","Yes","Yes","Yes",0,100,1,7,7,7,7,7,7,7,7,2,6,4,7,1,1,5,1,1,1,5,5,5,1,1,1,1,1,1,"Somewhat flexible",4,"Male",43,"","2",7,7,7,28,28,28,100,0,0,100
"333","Yes","Yes","Yes",500,0,7,6,7,7,7,6,7,6,7,6,6,7,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,"Somewhat flexible",7,"Male",37,"","1",6.5,6.75,6.75,26,27,27,500,0,0,500
